UNIGRAMS vs BIGRAMS
================================================================================
Total terms: 1,000
Unigrams: 981 (98.1%)
Bigrams: 19 (1.9%)
================================================================================

TOP 100 BIGRAMS (by document frequency)
--------------------------------------------------------------------------------
Rank   Bigram                                   Papers       % of Corpus 
--------------------------------------------------------------------------------
127    state art                                146,730      6.15        
207    neural network                           108,862      4.57        
344    real world                               77,328       3.24        
372    machine learn                            73,494       3.08        
432    magnetic field                           67,091       2.81        
476    language model                           62,182       2.61        
550    deep learn                               54,677       2.29        
611    black hole                               50,024       2.10        
706    monte carlo                              42,816       1.80        
808    real time                                37,393       1.57        
809    field theory                             37,381       1.57        
823    phase transition                         36,651       1.54        
853    dark matter                              34,920       1.46        
870    grind state                              33,917       1.42        
886    lower bind                               32,958       1.38        
900    fine tune                                31,581       1.32        
925    pre train                                29,624       1.24        
975    star formation                           23,670       0.99        
991    gamma ray                                20,410       0.86        
