term,doc_freq,doc_pct,mean_tfidf
model,886182,37.16244579318188,0.040737968
method,580221,24.331831904242904,0.025521683
time,546750,22.9282102744382,0.02310741
data,508000,21.303211375243908,0.024323894
state,478687,20.073957369254686,0.021434125
approach,453705,19.026325820876057,0.017445892
new,407036,17.069240049869645,0.015417682
problem,394904,16.560479104191575,0.019710705
field,389773,16.345308282210517,0.02035171
set,367142,15.396266989625587,0.016416157
function,364867,15.300863828447083,0.018949557
non,355120,14.892118944048457,0.015511212
order,341476,14.319951589710215,0.015687363
process,332504,13.943706683295472,0.014581363
case,331709,13.910367996202325,0.013874342
space,330673,13.866922864342577,0.017732749
analysis,325067,13.631832701016558,0.0129321655
structure,323578,13.569390807832033,0.014987972
number,318453,13.354471598583755,0.014699363
performance,310852,13.035720201608896,0.012792204
property,310096,13.004016997278809,0.01340301
parameter,304653,12.775762313193272,0.013792752
learn,297715,12.484814123190432,0.017517477
energy,296937,12.452188338840157,0.016655378
application,293533,12.309440048443838,0.011717115
theory,288986,12.11875953245322,0.01607915
network,273989,11.48985350687343,0.017799383
experiment,272399,11.423176132687136,0.010008597
limit,265560,11.136379552775141,0.010998025
scale,264245,11.081234428841194,0.012331107
algorithm,262882,11.024076403045017,0.016398417
exist,262786,11.020050599320562,0.00961189
term,258952,10.859270063075119,0.011232918
effect,258608,10.84484426639582,0.01201713
solution,258049,10.821402346791958,0.01546532
achieve,252819,10.602079914720058,0.00915655
framework,249774,10.474386452834985,0.010844251
point,245298,10.286683354182244,0.012972333
form,243098,10.19442535216347,0.010904328
type,241606,10.131857652612558,0.012214338
condition,241414,10.123806045163647,0.011914114
value,240391,10.080906074224917,0.011363934
prove,239428,10.040522230613973,0.012653435
lead,235793,9.888086850005683,0.009057163
information,235332,9.868754605037203,0.0112347845
develop,231828,9.721812769094576,0.008996238
improve,231402,9.703948265067304,0.008958022
distribution,230476,9.665116033308493,0.012216412
simulation,228001,9.561325781037375,0.01008996
dynamic,224818,9.427845226298395,0.011536162
design,223559,9.375048487870378,0.010514324
challenge,223412,9.368883975917306,0.008636835
novel,222790,9.342800122619272,0.007970647
quantum,220462,9.245174382301224,0.018945532
potential,217985,9.14130025911918,0.010214792
range,216092,9.061916441927572,0.00888878
feature,214957,9.014319699976978,0.011093473
generate,214476,8.994148745899237,0.009746692
technique,214436,8.992471327680713,0.009579571
dimensional,212350,8.904993967584732,0.010959923
require,210942,8.845948846292718,0.0077921865
level,209891,8.80187468260102,0.010030992
measure,209725,8.79491339699415,0.010490971
train,209204,8.773065024697885,0.012358688
real,209198,8.772813411965108,0.009313109
general,208179,8.730081182848231,0.009166623
particular,206094,8.642645758207712,0.008302693
know,205714,8.626710285131741,0.008389518
derive,205317,8.6100619093129,0.008801427
task,205160,8.603478042805197,0.0114201
phase,203600,8.538058732282794,0.013321938
increase,203586,8.53747163590631,0.008372239
single,202515,8.492558763105354,0.008765745
interaction,198670,8.331316936849817,0.010664342
perform,195327,8.191126709236746,0.0074692126
class,190905,8.005688125179011,0.010959726
image,189640,7.952639774018218,0.014765745
mass,189396,7.942407522885227,0.012542722
density,188541,7.906552708464294,0.010173821
linear,187855,7.877784986016623,0.009809299
rate,187358,7.856943064651473,0.009854456
sample,183799,7.707694778658376,0.010244213
estimate,181283,7.60218517271327,0.009201867
reduce,180024,7.5493884342852535,0.0075338627
extend,179399,7.523178774620829,0.0077515445
example,177547,7.445514311103209,0.008201267
experimental,175443,7.357282112808891,0.0074031185
determine,174573,7.320798266556013,0.0075591546
test,173212,7.263724111670763,0.00911465
couple,173130,7.26028540432279,0.010211966
complex,171160,7.177672557060526,0.008637658
identify,171030,7.172220947850326,0.0071348194
source,170788,7.162072567628261,0.009252776
finite,167475,7.023140403679082,0.0096533485
compute,166724,6.991646876626309,0.0082549015
address,166369,6.976759789936916,0.0063056825
understand,166074,6.964388830575308,0.0068912376
numerical,164952,6.917337249545734,0.007896609
mean,163041,6.837198594155791,0.007823667
correspond,162983,6.834766337738933,0.0070213703
local,162447,6.812288933610722,0.008935757
measurement,161948,6.791363141334646,0.009125306
current,161826,6.78624701576815,0.007895843
group,161742,6.782724437509252,0.013743768
effective,160550,6.732737374597263,0.0071090083
define,159337,6.681869667120548,0.0076401504
multi,159029,6.668953546837921,0.008025294
observation,159001,6.667779354084953,0.0074699633
control,158012,6.626305188631969,0.00972655
size,157340,6.59812456256078,0.007922472
like,156716,6.571956838351819,0.007040993
standard,156116,6.546795565073972,0.007277283
possible,155541,6.5226826781827025,0.006625137
simple,155394,6.516518166229629,0.0071670944
bind,155098,6.504105271412558,0.009926211
analyze,154946,6.49773108218217,0.006538623
multiple,153383,6.432185965293378,0.006877911
construct,152410,6.391382767127802,0.007421106
