TF-IDF VOCABULARY INSPECTION
Generated: 2026-01-04 14:46
Total features: 1,000
Total papers: 2,384,617
Matrix sparsity: 96.50%
================================================================================

MOST COMMON TERMS (by document frequency)
--------------------------------------------------------------------------------
Rank   Term                           Papers       % of Corpus  Mean TF-IDF 
--------------------------------------------------------------------------------
1      model                          886,182      37.16        0.040738    
2      method                         580,221      24.33        0.025522    
3      time                           546,750      22.93        0.023107    
4      data                           508,000      21.30        0.024324    
5      state                          478,687      20.07        0.021434    
6      approach                       453,705      19.03        0.017446    
7      new                            407,036      17.07        0.015418    
8      problem                        394,904      16.56        0.019711    
9      field                          389,773      16.35        0.020352    
10     set                            367,142      15.40        0.016416    
11     function                       364,867      15.30        0.018950    
12     non                            355,120      14.89        0.015511    
13     order                          341,476      14.32        0.015687    
14     process                        332,504      13.94        0.014581    
15     case                           331,709      13.91        0.013874    
16     space                          330,673      13.87        0.017733    
17     analysis                       325,067      13.63        0.012932    
18     structure                      323,578      13.57        0.014988    
19     number                         318,453      13.35        0.014699    
20     performance                    310,852      13.04        0.012792    
21     property                       310,096      13.00        0.013403    
22     parameter                      304,653      12.78        0.013793    
23     learn                          297,715      12.48        0.017517    
24     energy                         296,937      12.45        0.016655    
25     application                    293,533      12.31        0.011717    
26     theory                         288,986      12.12        0.016079    
27     network                        273,989      11.49        0.017799    
28     experiment                     272,399      11.42        0.010009    
29     limit                          265,560      11.14        0.010998    
30     scale                          264,245      11.08        0.012331    
31     algorithm                      262,882      11.02        0.016398    
32     exist                          262,786      11.02        0.009612    
33     term                           258,952      10.86        0.011233    
34     effect                         258,608      10.84        0.012017    
35     solution                       258,049      10.82        0.015465    
36     achieve                        252,819      10.60        0.009157    
37     framework                      249,774      10.47        0.010844    
38     point                          245,298      10.29        0.012972    
39     form                           243,098      10.19        0.010904    
40     type                           241,606      10.13        0.012214    
41     condition                      241,414      10.12        0.011914    
42     value                          240,391      10.08        0.011364    
43     prove                          239,428      10.04        0.012653    
44     lead                           235,793      9.89         0.009057    
45     information                    235,332      9.87         0.011235    
46     develop                        231,828      9.72         0.008996    
47     improve                        231,402      9.70         0.008958    
48     distribution                   230,476      9.67         0.012216    
49     simulation                     228,001      9.56         0.010090    
50     dynamic                        224,818      9.43         0.011536    
51     design                         223,559      9.38         0.010514    
52     challenge                      223,412      9.37         0.008637    
53     novel                          222,790      9.34         0.007971    
54     quantum                        220,462      9.25         0.018946    
55     potential                      217,985      9.14         0.010215    
56     range                          216,092      9.06         0.008889    
57     feature                        214,957      9.01         0.011093    
58     generate                       214,476      8.99         0.009747    
59     technique                      214,436      8.99         0.009580    
60     dimensional                    212,350      8.90         0.010960    
61     require                        210,942      8.85         0.007792    
62     level                          209,891      8.80         0.010031    
63     measure                        209,725      8.79         0.010491    
64     train                          209,204      8.77         0.012359    
65     real                           209,198      8.77         0.009313    
66     general                        208,179      8.73         0.009167    
67     particular                     206,094      8.64         0.008303    
68     know                           205,714      8.63         0.008390    
69     derive                         205,317      8.61         0.008801    
70     task                           205,160      8.60         0.011420    
71     phase                          203,600      8.54         0.013322    
